"","pol","place","time1","time2","Polity.Population","Polity.territory","Population.of.the.largest.settlement","scale.of.supracultural.interaction","PC$scores[, 1]","PC$scores[, 2]","PC$scores[, 3]","PC$scores[, 4]","PC$scores[, 5]"
"322","Southern Mesopotamia -729 -627","Southern Mesopotamia",-729,-627,6e+06,1400000,10000,6576506.57777778,1.20569525110646,-1.1382132943725,1.32024046454897,-1.38552441085675,-0.120323167778173
"323","Southern Mesopotamia -9000 -5501","Southern Mesopotamia",-9000,-5501,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-1.92072466344133,1.02794000831604,0.644986605075362,-1.13488257931078,0.867550252386487
"324","Southern Mesopotamia -979 -732","Southern Mesopotamia",-979,-732,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-0.685537320463033,0.917822023896836,0.880496190848592,-1.04888572018352,-0.419644202586905
"325","Southern Mesopotamia 1056 1190","Southern Mesopotamia",1056,1190,12100000,4250000,750000,3250000,2.59012251170525,-0.953514722147314,-1.12939029866214,0.90726627295621,-0.288080768341051
"326","Southern Mesopotamia 1191 1207","Southern Mesopotamia",1191,1207,3900000,750000,1e+06,3500000,2.26265996825791,-1.80086358045587,0.647855822489177,0.685248809444639,0.626280664739685
"327","Southern Mesopotamia 1263 1335","Southern Mesopotamia",1263,1335,5250000,3800000,150000,2.5e+07,3.43005050971072,-1.56707855195851,-0.498183443021475,0.752076750937289,0.407503011310755
"328","Southern Mesopotamia 1394 1470","Southern Mesopotamia",1394,1470,4.9e+07,5500000,150000,8500000,3.86933741938503,-1.37533328064027,0.835682361904395,1.31968101360791,0.927638416228018
"329","Southern Mesopotamia 1471 1533","Southern Mesopotamia",1471,1533,9e+06,2700000,2e+05,2700000,4.18381409579825,-0.0102453035149727,-0.497563548634336,-0.553821093197414,-1.20311520237642
"330","Southern Mesopotamia 1534 1682","Southern Mesopotamia",1534,1682,2.8e+07,4836000,675000,4750000,7.16824437159133,1.59736029990716,1.53422141604181,0.842371858512781,0.745199921804083
"331","Southern Mesopotamia 1683 1838","Southern Mesopotamia",1683,1838,2.4e+07,4710000,570000,6576506.57777778,6.96214901158596,1.63439138395326,0.87326798832864,0.590886721739859,1.5542939444415
"332","Southern Mesopotamia 220 498","Southern Mesopotamia",220,498,5e+06,2900000,1e+05,3250000,4.73903542509642,0.642327258403402,0.0303539446854978,-0.156093872872145,0.518868730492499
"333","Southern Mesopotamia 41 219","Southern Mesopotamia",41,219,4750000,1800000,30000,3750000,2.40702020694585,-0.521483091812106,-0.0787567902933304,0.68405250195571,-0.118011989470075
"334","Southern Mesopotamia 499 635","Southern Mesopotamia",499,635,8900000,3050000,4e+05,3250000,5.11892590221608,0.546688642431796,-0.125890861859772,-0.0989777040080678,0.39255977999855
"335","Southern Mesopotamia 661 749","Southern Mesopotamia",661,749,2.8e+07,9e+06,3e+05,9e+06,2.0888842389612,-3.39313985030626,1.58225391876277,0.819244411038407,-1.5814831381387
"336","Southern Mesopotamia 750 946","Southern Mesopotamia",750,946,2.1e+07,1e+06,3e+05,1.1e+07,3.55050560834718,-1.29192929901036,1.78584713283605,0.97695973785381,0.372572471754353
"337","Southern Mesopotamia 947 1055","Southern Mesopotamia",947,1055,5e+06,9e+05,512500,3250000,3.28347082757281,0.362760927075777,0.0422571402003884,1.25076382745593,0.687596325747432
"338","Susiana -1100 -901","Susiana",-1100,-901,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,0.0292224463281484,-0.177325874904774,0.910957060080822,-0.778810039888355,-0.282463503319544
"339","Susiana -1200 -1101","Susiana",-1200,-1101,14965144.9772727,275000,170408.662280702,6576506.57777778,0.708734798710741,-1.52733189971659,0.0205093808025348,-1.33385766770207,-0.044174939549963
"340","Susiana -1400 -1201","Susiana",-1400,-1201,14965144.9772727,310000,11375,6576506.57777778,0.637450391794581,-1.55002100145921,0.277545676979738,-1.31451724243801,-0.164388630622785
"341","Susiana -143 24","Susiana",-143,24,75000,280000,450000,3750000,2.62670615743378,-0.703054152750577,-0.201580369931508,0.905229560437055,-0.34529061272683
"342","Susiana -1500 -1401","Susiana",-1500,-1401,14965144.9772727,245000,3750,6576506.57777778,0.550459665548704,-1.5175613989644,0.309196415100389,-1.43305140320927,0.0120040211222025
"343","Susiana -1700 -1501","Susiana",-1700,-1501,14965144.9772727,1720265.20347003,15125,6576506.57777778,-1.37597620224515,1.29625461260839,-0.290061199235247,1.63622024373762,-1.28971695927913
"344","Susiana -1900 -1701","Susiana",-1900,-1701,14965144.9772727,1720265.20347003,16250,6576506.57777778,0.240755977292333,-2.10054899198664,-1.96995790950416,-0.208863660974317,0.990931711090153
"345","Susiana -2028 -1901","Susiana",-2028,-1901,14965144.9772727,1720265.20347003,16250,6576506.57777778,-0.254940486344018,-1.48916731600671,-0.561806317563463,-0.352331002433511,0.21599357374568
"346","Susiana -2112 -2029","Susiana",-2112,-2029,2e+05,1720265.20347003,2e+05,6576506.57777778,1.67216016733489,-0.596285248852455,-1.57529030151742,-1.705834815513,1.07835127134919
"347","Susiana -2250 -2113","Susiana",-2250,-2113,14965144.9772727,725000,30000,6576506.57777778,1.85219480257755,-0.483486441260428,0.201459006672191,-1.86845385777117,-0.217947098814512
"348","Susiana -2675 -2251","Susiana",-2675,-2251,14965144.9772727,250000,5750,6576506.57777778,-0.71071660642242,-1.25483578213233,-0.352066171576713,-0.966850237450773,0.599209811313692
"349","Susiana -3100 -2676","Susiana",-3100,-2676,14965144.9772727,1720265.20347003,6250,6576506.57777778,-1.95886313522463,-2.45303433656932,0.731251621592164,-2.18974120118654,-0.103205420000756
"350","Susiana -312 -144","Susiana",-312,-144,1.6e+07,1387500,75000,4750000,3.39132213080981,-1.53625578420803,-0.805340262914016,-0.519428620180869,-0.106811060168935
"351","Susiana -3800 -3101","Susiana",-3800,-3101,15950,1720265.20347003,2625,6576506.57777778,-2.10951055517857,-2.26833675740772,0.685830045286202,-2.63773614428867,0.0257853845155621
"352","Susiana -4300 -3801","Susiana",-4300,-3801,6400,1,875,6576506.57777778,-6.79180335729935,0.0714548402575469,-0.124130523311661,-0.0283199712963556,-0.434462792726776
"353","Susiana -4700 -4301","Susiana",-4700,-4301,14965144.9772727,1720265.20347003,1875,6576506.57777778,-6.71555457050505,0.741551040210359,-0.583344643183328,-0.86185304880226,-0.981329984179419
"354","Susiana -5100 -4701","Susiana",-5100,-4701,14965144.9772727,1720265.20347003,1875,6576506.57777778,-7.41416095661647,-0.311882978617098,0.105188302773405,0.168305788597452,-0.245723733754702
"355","Susiana -539 -331","Susiana",-539,-331,2.6e+07,4e+06,2e+05,2750000,5.06386760683625,-0.270911268255456,1.16034850716073,0.769798398003458,-1.27573966668128
"356","Susiana -5700 -5101","Susiana",-5700,-5101,14965144.9772727,1720265.20347003,437.5,6576506.57777778,-7.52246787148906,-0.555506468745242,-0.170703681048405,0.521224000865994,-0.790117250049397
"357","Susiana -6000 -5701","Susiana",-6000,-5701,14965144.9772727,1720265.20347003,437.5,6576506.57777778,-6.54422906294003,-2.27476334693537,0.815077977285488,-1.21538678720624,-0.0312293814026807
"358","Susiana -612 -540","Susiana",-612,-540,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,0.405023200796634,-0.560694752802121,-0.15288935789152,-0.761444714738241,0.0211837506534552
"359","Susiana -7000 -6001","Susiana",-7000,-6001,14965144.9772727,1720265.20347003,437.5,6576506.57777778,-7.91990509766674,-0.239835757098976,0.916174054180426,0.481722389887804,-1.10187004351103
"360","Susiana -7200 -7001","Susiana",-7200,-7001,14965144.9772727,1720265.20347003,375,6576506.57777778,-8.04139720019811,-0.679000988721972,1.17736026144629,1.17143806950157,-0.838130739306481
"361","Susiana -743 -647","Susiana",-743,-647,14965144.9772727,320000,170408.662280702,6576506.57777778,0.278040896757754,-2.5055017210127,-2.2480815705766,-1.48998662783566,1.03632506507229
"362","Susiana -7800 -7201","Susiana",-7800,-7201,14965144.9772727,1720265.20347003,375,6576506.57777778,-8.14428753025754,-0.615181913876623,1.24419547271168,1.14220336518729,-0.748419592459011
"363","Susiana -900 -744","Susiana",-900,-744,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-0.319062468522084,-1.15499437830156,-0.211562365558026,-1.0025370420313,-0.328612409025529
"364","Susiana 1056 1190","Susiana",1056,1190,12100000,4250000,750000,3250000,2.59012251170525,-0.953514722147314,-1.12939029866214,0.90726627295621,-0.288080768341051
"365","Susiana 1191 1207","Susiana",1191,1207,3900000,750000,1e+06,3500000,2.26265996825791,-1.80086358045587,0.647855822489177,0.685248809444639,0.626280664739685
"366","Susiana 1263 1335","Susiana",1263,1335,5250000,3800000,150000,2.5e+07,3.43005050971072,-1.56707855195851,-0.498183443021475,0.752076750937289,0.407503011310755
"367","Susiana 1394 1470","Susiana",1394,1470,4.9e+07,5500000,150000,8500000,3.86933741938503,-1.37533328064027,0.835682361904395,1.31968101360791,0.927638416228018
"368","Susiana 1471 1504","Susiana",1471,1504,14965144.9772727,1800000,170408.662280702,6576506.57777778,1.02716042732396,-1.1888798305433,0.0139936827633612,1.11699158856769,0.19355440564563
"369","Susiana 1505 1722","Susiana",1505,1722,9e+06,2700000,2e+05,2700000,4.18381409579825,-0.0102453035149727,-0.497563548634336,-0.553821093197414,-1.20311520237642
"370","Susiana 1794 1925","Susiana",1794,1925,8e+06,1600000,140000,6576506.57777778,1.52650994747971,-2.30706896140959,0.0195714748468711,-0.298190479131113,-0.469765736734357
"371","Susiana 220 498","Susiana",220,498,5e+06,2900000,1e+05,3250000,4.73903542509642,0.642327258403402,0.0303539446854978,-0.156093872872145,0.518868730492499
"372","Susiana 25 215","Susiana",25,215,14965144.9772727,1720265.20347003,25000,6576506.57777778,1.57987646698637,-1.85401397568325,-0.176690137110285,-0.0637799010622083,-0.341790353558957
"373","Susiana 499 642","Susiana",499,642,8900000,3050000,4e+05,3250000,5.11892590221608,0.546688642431796,-0.125890861859772,-0.0989777040080678,0.39255977999855
"374","Susiana 663 749","Susiana",663,749,2.8e+07,9e+06,3e+05,9e+06,2.0888842389612,-3.39313985030626,1.58225391876277,0.819244411038407,-1.5814831381387
"375","Susiana 750 946","Susiana",750,946,2.1e+07,1e+06,3e+05,1.1e+07,3.55050560834718,-1.29192929901036,1.78584713283605,0.97695973785381,0.372572471754353
"376","Susiana 947 1055","Susiana",947,1055,5e+06,9e+05,512500,3250000,3.28347082757281,0.362760927075777,0.0422571402003884,1.25076382745593,0.687596325747432
"377","Upper Egypt -1070 -761","Upper Egypt",-1070,-761,14965144.9772727,210000,1e+05,350000,1.33543163076618,0.598386739228618,0.495393355854091,-0.625740587498516,-1.41338022478474
"378","Upper Egypt -1293 -1071","Upper Egypt",-1293,-1071,2500000,567000,275000,6576506.57777778,3.30586584862571,0.97955868320929,0.816814105767342,-2.01020900520641,-0.587562960329688
"379","Upper Egypt -1550 -1294","Upper Egypt",-1550,-1294,3925000,650000,65000,6576506.57777778,3.29768899133969,0.944703416040286,0.758598709714263,-1.97346527958072,-0.667887304981716
"380","Upper Egypt -1720 -1567","Upper Egypt",-1720,-1567,14965144.9772727,15000,75000,6576506.57777778,0.92204602265609,1.58761942059522,0.433858051097504,0.282016450327612,-0.88880590005849
"381","Upper Egypt -2016 -1721","Upper Egypt",-2016,-1721,2e+06,238000,30000,6576506.57777778,1.82356238438811,-0.1746101318823,1.39609374592895,-2.25991776028762,-0.816720126180937
"382","Upper Egypt -2150 -2017","Upper Egypt",-2150,-2017,14965144.9772727,30000,30000,6576506.57777778,-0.131261702959893,-2.48955341102887,-1.42015226369663,-2.20738256322532,1.33889754533537
"383","Upper Egypt -217 -32","Upper Egypt",-217,-32,2500000,107000,3e+05,3750000,3.92715122128821,-0.641181022196955,2.21125427028323,1.47886530338555,1.19666677394629
"384","Upper Egypt -2350 -2151","Upper Egypt",-2350,-2151,1500000,187500,40000,6576506.57777778,2.76193778799189,0.852409586066936,0.965352004056103,-3.30879913446334,-1.62263423050142
"385","Upper Egypt -2650 -2351","Upper Egypt",-2650,-2351,1250000,212500,30000,6576506.57777778,2.68087854376803,0.879354537933247,0.999944362633877,-3.40364561097229,-1.54500977701382
"386","Upper Egypt -2900 -2651","Upper Egypt",-2900,-2651,1150000,1e+05,13000,6576506.57777778,-0.857461776798122,-1.50531893613871,1.97408800135288,-2.65267905983649,-0.669296364907836
"387","Upper Egypt -305 -218","Upper Egypt",-305,-218,7e+06,1e+06,1e+05,3750000,4.66941917619307,0.0613689679848097,2.35841803938487,1.95147447305521,1.61582012037022
"388","Upper Egypt -31 283","Upper Egypt",-31,283,6e+07,4500000,1050000,1.7e+07,6.77945134490131,1.63831454165043,1.54967679713377,0.38581211556068,0.960911440127831
"389","Upper Egypt -3100 -2901","Upper Egypt",-3100,-2901,1e+06,80000,13000,6576506.57777778,-0.810206004877798,-1.08644353131145,2.07374808056428,-2.7041319348999,-0.342902896295941
"390","Upper Egypt -3300 -3101","Upper Egypt",-3300,-3101,50000,7500,10000,6576506.57777778,-5.37307436815705,0.384387075198564,0.568126458211649,0.206127793122558,-1.66727837071274
"391","Upper Egypt -3550 -3301","Upper Egypt",-3550,-3301,13000,12500,10000,6576506.57777778,-4.59253838125105,-0.440736226220733,1.58720801704745,-2.4247267955543,-0.857372897232511
"392","Upper Egypt -3800 -3551","Upper Egypt",-3800,-3551,14965144.9772727,3752.5,1025,6576506.57777778,-7.65261174499474,0.485982304237644,1.38024153421666,0.218797797782425,-0.598585346390662
"393","Upper Egypt -404 -343","Upper Egypt",-404,-343,2750000,550000,75000,375000,2.64237459075351,-0.610750521731469,0.543317349944506,0.273842281655502,0.760020479964587
"394","Upper Egypt -4400 -3801","Upper Egypt",-4400,-3801,14965144.9772727,1720265.20347003,62.5,6576506.57777778,-6.8350440151087,-1.65788032601159,1.41858167141239,-1.77690609319246,0.567401927622037
"395","Upper Egypt -525 -405","Upper Egypt",-525,-405,2.6e+07,4e+06,2e+05,2750000,5.06386760683625,-0.270911268255456,1.16034850716073,0.769798398003458,-1.27573966668128
"396","Upper Egypt -655 -526","Upper Egypt",-655,-526,2150000,350000,50000,375000,2.71595702979892,-0.122065565954471,1.46099111592739,-0.350718969256143,0.228098051717912
"397","Upper Egypt -760 -656","Upper Egypt",-760,-656,2750000,650000,65000,2e+05,1.98301129468572,0.490932271258458,-0.0983851649682225,-1.8329551214985,-2.35313855121652
"398","Upper Egypt 1171 1259","Upper Egypt",1171,1259,9250000,1595000,2e+05,1.1e+07,3.98075852894344,-0.218593985437916,-0.976979719125992,-0.238640432734829,0.652063752640943
"399","Upper Egypt 1260 1347","Upper Egypt",1260,1347,5500000,2100000,350000,1.1e+07,5.82669993276111,0.994749606876683,1.65856246493499,0.906681823938058,1.17527821784504
"400","Upper Egypt 1348 1411","Upper Egypt",1348,1411,3500000,2100000,250000,1.1e+07,5.94975523676895,1.19140173787924,1.47795326709761,0.631513553558518,0.95632618588698
"401","Upper Egypt 1412 1516","Upper Egypt",1412,1516,3200000,2100000,275000,1.1e+07,5.15507649129541,0.100975613808557,1.42641649683952,0.439124105250735,0.151258443022235
"402","Upper Egypt 1517 1682","Upper Egypt",1517,1682,2.8e+07,4836000,675000,4750000,7.16824437159133,1.59736029990716,1.53422141604181,0.842371858512781,0.745199921804083
"403","Upper Egypt 1683 1798","Upper Egypt",1683,1798,2.4e+07,4710000,570000,6576506.57777778,6.96214901158596,1.63439138395326,0.87326798832864,0.590886721739859,1.5542939444415
"404","Upper Egypt 284 394","Upper Egypt",284,394,5.5e+07,4250000,8e+05,1.7e+07,6.21556450052343,0.0372239108206078,-2.21138115187371,-0.648767420428063,1.75153445582742
"405","Upper Egypt 395 632","Upper Egypt",395,632,13750000,1600000,2e+05,13500000,7.15014828580514,2.3652598107824,-0.752566550266356,-1.27455389795916,-0.543892813831648
"406","Upper Egypt 661 749","Upper Egypt",661,749,2.8e+07,9e+06,3e+05,9e+06,2.0888842389612,-3.39313985030626,1.58225391876277,0.819244411038407,-1.5814831381387
"407","Upper Egypt 750 867","Upper Egypt",750,867,2.1e+07,1e+06,3e+05,1.1e+07,3.55050560834718,-1.29192929901036,1.78584713283605,0.97695973785381,0.372572471754353
"408","Upper Egypt 868 969","Upper Egypt",868,969,6500000,9e+05,150000,1.1e+07,3.05982273786938,-2.19664056036535,-1.58527994255594,0.520439713441036,2.29323901591317
"409","Upper Egypt 970 1170","Upper Egypt",970,1170,8750000,631000,120000,1.1e+07,5.01744429409943,1.0226704788975,0.214454070595068,-0.88964488891821,-0.816036807821967
"410","Valley of Oaxaca -100 199","Valley of Oaxaca",-100,199,45000,20000,14500,6576506.57777778,-2.38580150475628,-1.57093738314594,1.45742523468882,-3.30062430427751,0.776975192075569
"411","Valley of Oaxaca -1150 -701","Valley of Oaxaca",-1150,-701,14965144.9772727,1720265.20347003,1383.5,6576506.57777778,-7.79863175564599,0.0240631610601917,1.06847452367459,0.0789071109427198,-0.444929982867351
"412","Valley of Oaxaca -1400 -1151","Valley of Oaxaca",-1400,-1151,14965144.9772727,1720265.20347003,205.5,3000,-8.38390401947813,-0.0541792583390232,0.989349014057615,0.12260672264377,-0.45851491021764
"413","Valley of Oaxaca -300 -101","Valley of Oaxaca",-300,-101,55000,5000,17200,6576506.57777778,-3.14712125346329,-2.58757893192273,2.19236101013868,-2.31028605692192,1.56112558026905
"414","Valley of Oaxaca -500 -301","Valley of Oaxaca",-500,-301,15000,1300,2000,6576506.57777778,-4.91350667228899,-1.77611960735258,1.54771711861115,-1.38269284526176,1.17293898150947
"415","Valley of Oaxaca -700 -501","Valley of Oaxaca",-700,-501,1500,275,1000,150,-7.16122903416859,-0.24569660731194,0.941917246489687,0.0610392502304701,-0.543896445959026
"416","Valley of Oaxaca 1101 1520","Valley of Oaxaca",1101,1520,9481.5,1720265.20347003,7413,6576506.57777778,-5.83408044030937,0.812929842588504,-2.04506459960774,-1.2516443240744,0.498025862517251
"417","Valley of Oaxaca 1516 1808","Valley of Oaxaca",1516,1808,2.9e+07,7100000,224000,6576506.57777778,8.55008978522505,6.36001071437173,-2.09553711828037,-2.36605658654679,-0.47965890880219
"418","Valley of Oaxaca 200 499","Valley of Oaxaca",200,499,14965144.9772727,11500,22500,6576506.57777778,-3.34667535757727,-2.00248259292058,1.09143794824624,-3.64372827946673,0.267883443539079
"419","Valley of Oaxaca 500 899","Valley of Oaxaca",500,899,8452.5,1720265.20347003,22500,6576506.57777778,-5.19000744978659,1.05323278835915,0.388536121066069,-0.579885502820973,-1.41189637148014
"420","Valley of Oaxaca 900 1100","Valley of Oaxaca",900,1100,9481.5,1720265.20347003,7413,6576506.57777778,-5.83408044030937,0.812929842588504,-2.04506459960774,-1.2516443240744,0.498025862517251
"421","Yemeni Coastal Plain -110 149","Yemeni Coastal Plain",-110,149,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-0.468408900071689,-0.232270761249977,0.0697672189750021,0.496409088909384,-0.395147284820392
"422","Yemeni Coastal Plain -1200 -801","Yemeni Coastal Plain",-1200,-801,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-1.1313633626659,0.537650469648491,0.166779138049662,-0.637958769852111,0.296308912369534
"423","Yemeni Coastal Plain -3500 -1201","Yemeni Coastal Plain",-3500,-1201,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-1.18747800848586,0.447338814009047,0.109511958389527,-0.533967000631406,0.148743436206235
"424","Yemeni Coastal Plain -450 -111","Yemeni Coastal Plain",-450,-111,14965144.9772727,1720265.20347003,35000,6576506.57777778,-1.50318813447038,1.520335445353,-0.796756763561842,2.22172607494854,-0.984441589728423
"425","Yemeni Coastal Plain -800 -451","Yemeni Coastal Plain",-800,-451,14965144.9772727,1720265.20347003,35000,6576506.57777778,-1.52084087964555,1.51527817194013,-0.777826545817155,2.15465798076278,-0.976716099843367
"426","Yemeni Coastal Plain 1454 1517","Yemeni Coastal Plain",1454,1517,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,2.24582461433334,-1.48132610265578,-0.114555196772628,-0.276946281974672,-0.503935963977958
"427","Yemeni Coastal Plain 1538 1636","Yemeni Coastal Plain",1538,1636,2.4e+07,4710000,570000,6576506.57777778,6.96214901158596,1.63439138395326,0.87326798832864,0.590886721739859,1.5542939444415
"428","Yemeni Coastal Plain 1637 1805","Yemeni Coastal Plain",1637,1805,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-1.47149659567938,-0.272490285161626,0.0392038222586237,0.812145168772016,-1.49388426996228
